Channel Name,Channel Type,Rx Frequency,Tx Frequency,Color Code,Timeslot,Contact,Rx Group,Scanlist,RX CTCSS,TX CTCSS,Squelch,Power,Bandwidth,Rx Only,Auto Scan,Tx Admit,TOT,TOT Rekey,Tx Signaling,Rx Signaling,Privacy Group,Emergency System,Unknown3,Unknown5,Unknown13,Unknown14,Uknown15,Unknown30,Unknown31
Home Scan,Analogue,438.05000,433.05000, 1,1,None,None,Home,None,91.5,Normal,High,25KHz,No,Yes, 36, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
DMR 439.2 S1,Digital,439.20000,439.20000, 1,1,None,VK DMR Mon,None,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0, 128,0, 224, 195,0, 64, 255, 255, 255
DMR 439.2 S2,Digital,439.20000,439.20000, 1,2,None,VK DMR Mon,None,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0, 128,0, 224, 195,0, 64, 255, 255, 255
FM 438.7 Simplex,Analogue,438.70000,438.70000,0,1,None,None,Goulbn,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0,0,0, 224, 195,0, 64, 255, 255, 255
DV4 TG9 S1,Digital,439.12500,439.12500, 1,1,TG9 Local,TG9,DVhotspot,None,None,Normal,Low,12.5KHz,No,No,0, 12,0,0,0,0,0, 224, 195,0,0, 255, 255, 255
DVm TG8,Digital,431.00000,431.00000, 1,2,TG8 StateLnkd,TG8,None,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195, 1,0, 255, 255, 255
DVm 9s2,Digital,431.00000,431.00000, 1,2,TG9 Local,VK BM Mon,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 505,Digital,431.00000,431.00000, 1,2,TG:505 VK,TG505,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 5051,Digital,431.00000,431.00000, 1,2,bm5051 ACT,bm5051,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 5052,Digital,431.00000,431.00000, 1,2,bm5052 NSW,bm5052,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 5053,Digital,431.00000,431.00000, 1,2,bm5053 VIC,bm5053,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 5054,Digital,431.00000,431.00000, 1,2,bm5054 QLD,bm5054,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 5055,Digital,431.00000,431.00000, 1,2,bm5055 SA,bm5055,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 5056,Digital,431.00000,431.00000, 1,2,bm5056 WA,bm5056,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 5057,Digital,431.00000,431.00000, 1,2,bm5057 Tas,bm5057,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm YSF 50599,Digital,431.00000,431.00000, 1,2,bm50599 YSF-NXDS,bm50599,None,None,None,Normal,High,12.5KHz,No,No, 32, 12,0,0,0, 128,0, 224, 195,0, 64, 255, 255, 255
DVm WICEN,Digital,431.00000,431.00000, 1,2,bm50566 WICEN,bm50566 WICEN,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm TG91 WW,Digital,431.00000,431.00000, 1,2,bm91 WW,bm91,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm TG913 WWE,Digital,431.00000,431.00000, 1,2,bm913 WWE,bm913,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm TG923 EU E,Digital,431.00000,431.00000, 1,2,bm923 EU E,bm923,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm TG95 PacRim,Digital,431.00000,431.00000, 1,2,bm95 AU/NZ,bm95,DVhotspot,None,None,Normal,Low,12.5KHz,No,No, 5, 12,0,0,0,0,0, 225, 195,0,0, 255, 255, 255
DVm 26204,Digital,431.00000,431.00000, 1,2,bm26204,VK BM Mon,None,None,None,Normal,Low,12.5KHz,No,No, 5, 16,0,0,0,0,0, 225, 195, 1,0, 255, 255, 255
