name,mode,rx freq,tx freq,bandwidth,auto scan,squelch mode,lone worker,talk around,rx only,repeater slot,colour code,private call confirmed,data call confirmed,privacy mode,privacy key,emergency alarm ack,compressed udp data header,display ptt id,reverse burst turn off code,qt reverse,vox,gps system,admit criteria,rx rel freq,tx rel freq,tx power,scan list,contact,rx group,emergency system,tx time out,tx time out rekey delay,decode 1,decode 2,decode 3,decode 4,decode 5,decode 6,decode 7,decode 8,tx dtmf,rx dtmf,rx ctcss cdcss,tx ctcss cdcss,tx gps info,rx gps info
Home Scan       ,1,43805000,43305000,2,1,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1, 66,    0,  0,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535, 2325,1,1
DV4 TG9 S1      ,2,43912500,43912500,0,0,1,0,1,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,0, 67,    5,  3,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 BM TG9 S2   ,2,43912500,43912500,0,0,1,0,1,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,0, 67,    5,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg133 US    ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   44,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg143 UK    ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   45,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg153 SthPac,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   46,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg3800      ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   47,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg3801 ACT  ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   48,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg3802 NSW  ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   49,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg3803 Vic  ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   50,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg3804 Qld  ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   51,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg3805 SA   ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   51,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg3806 WA   ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   53,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4 tg3807 Tas  ,2,43912500,43912500,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   54,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV hs Scan      ,2,43912500,43912500,0,1,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,    2,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 9s2         ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,    5,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 505         ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   15,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 5051        ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   30,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 5052        ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   31,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 5053        ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   32,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 5054        ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   33,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 5055        ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   34,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 5056        ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   35,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 5057        ,2,43915000,43915000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   36,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm WICEN       ,2,43915000,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   43,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm TG91 WW     ,2,43915000,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   39,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm TG913 WWE   ,2,43915000,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   40,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm TG923 EU E  ,2,43915000,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   41,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm TG95 PacRim ,2,43915000,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0, 67,   42,  2,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 26204       ,2,43915000,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 1,0,1,1,0,  0,   55,  2,  0, 16,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 4000 discnct,2,43915000,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0,  0,   27,  2,  0,  4,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DVm 5000 status ,2,43915000,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,0,  0,   28,  2,  0,  4,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
DV4m 31665      ,2,43921500,43915000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,0,0,0,0, 0,0,0,0,1,  0,   56,  2,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
DV4 YSF 50599   ,2,43902500,43902500,0,0,1,0,0,0,1, 1,0,1,0, 0,0,1,1,0,0,0, 0,0,0,0,1, 64,   37,  2,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
Zc TG9 S2       ,2,43800000,43800000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,0,0,0,0, 0,0,0,0,1, 67,   15,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
Zc TG505 S2     ,2,43913750,43913750,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 1,0,1,1,0, 67,   15,  3,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
Zl TG9 S2       ,2,43800000,43800000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1, 64,   15,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
Zl TG505 S2     ,2,43920000,43920000,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  1,    0,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
0 DMR SPX S2    ,2,43920000,43920000,0,0,1,0,0,0,2, 1,0,1,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  0,    0,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
438.7 Simplex   ,1,43870000,43870000,0,0,1,0,0,0,1, 0,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1, 64,    0,  0,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 1RBM Scan    ,2,43881250,43181250,0,1,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,    1,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 TG1 WW CALL  ,2,43881250,43181250,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,    2,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 TG5 VK Bcast ,2,43881250,43181250,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,    3,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG8 S1 ACT   ,2,43881250,43181250,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,    4,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG9 S1 LOC   ,2,43881250,43181250,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,    5,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG13 WWE     ,2,43881250,43181250,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,    6,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 TG113 UA CHA ,2,43881250,43181250,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,1,0,1,  2,    9,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG123 UA ENG ,2,43881250,43181250,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,   10,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG153 SthPac ,2,43881250,43181250,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  2,   13,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 TG505 AU     ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,   15,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG3800 AU +  ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,   17,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG3801 ACT   ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  2,   18,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 TG3802 NSW   ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,   19,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG3803 Vic   ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  2,   20,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 TG3804 Qld   ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  2,   21,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 TG3805 SA    ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  2,   22,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 TG3807 Tas   ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,0,0,1,  2,   24,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
11 Ref Discnct  ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,   27,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 Rpt Status   ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,   28,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
11 TG9 REF      ,2,43881250,43181250,0,0,1,0,0,0,2, 1,0,0,0, 0,0,1,1,0,0,0, 0,0,0,0,1,  2,    5,  1,  0, 12,  0,0,0,0,0,0,0,1,0,  0,  0,65535,65535,1,1
17 VK2RTH Scan  ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,    1,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG1 WW Call  ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,    2,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG8 Vic S1   ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,    4,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG9 s1 Locl  ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,    5,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG13 WWE     ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,    6,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG113 UA E1  ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,    9,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
17 TG123 UA E2  ,2,43840000,43140000,0,0,1,0,0,0,1, 1,0,0,0, 0,0,1,1,1,0,0, 0,0,1,1,1, 12,   10,  1,  0, 12,  0,0,0,0,0,0,0,0,0,  0,  0,65535,65535,1,1
