ScanList Name,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20,Channel 21,Channel 22,Channel 23,Channel 24,Channel 25,Channel 26,Channel 27,Channel 28,Channel 29,Channel 30,Channel 31,Priority1,Priority2,TX Channel,Signal Hold,Priority Sample
DMR SPX,DVm 31665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK1RBM,'1RMB TG1 WW,'1RMB TG5,'1RMB TG8 S1 ACT,'1RMB TG9 S1 LOC,'1RMB TG13 WWE,'1RMB TG113 UA,'1RMB TG123 UA,'1RMB TG153 SthPc,'1RMB TG505 AU,'1RMB TG3801 ACT,'1RMB TG3802 NSW,'1RMB TG3803 Vic,'1RMB TG3804 Qld,'1RMB TG3806 WA,'1RMB TG3805 SA,'1RMB TG3807 Tas,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK2RAO,'2RAO TG1 WW Call,'2RAO TG5 VK Bcst,'2RAO TG8 S1 LINK,'2RAO TG8 S2 LOCL,'2RAO TG9 S1 LOC,'2RAO TG13 WWE,'2RAO TG113 UA,'2RAO TG123 UA,'2RAO TG153 SthPc,'2RAO TG505 AU,'2RAO TG3801 ACT,'2RAO TG3802 NSW,'2RAO TG3803 VIC,'2RAO TG3804 QLD,'2RAO TG3805 SA,'2RAO TG3807 Tas,'2RAO TG3806 WA,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK2RCV,'2RCV TG1 WW,'2RCV TG5 VK Bcst,'2RCV TG8 S1 NSW,'2RCV TG9 S1 Loc,'2RCV TG13 WWE,'2RCV TG113 UA,'2RCV TG123 UA,'2RCV TG153 SthPc,'2RCV TG505 AU,'2RCV TG3801 ACT,'2RCV TG3802 NSW,'2RCV TG3803 Vic,'2RCV TG3804 Qld,'2RCV TG3805 SA,'2RCV TG3806 WA,'2RCV TG3807 Tas,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK2RGN,'2RGN TG1 WW,'2RGN TG5 VK Bcst,'2RGN TG8 S1 LINK,'2RGN TG9 S2 LOC,'2RGN TG9 S1 LOC,'2RGN TG13 WWE,'2RGN TG113 UA,'2RGN TG123 UA,'2RGN TG153 SthPc,'2RGN TG505 AU,'2RGN TG3801 ACT,'2RGN TG3802 NSW,'2RGN TG3803 VIC,'2RGN TG3804 QLD,'2RGN TG3805 SA,'2RGN TG3807 Tas,'2RGN TG3806 WA,'2RGN TG143 UK,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK2RHR,'2RHR TG1 WW,'2RHR TG5 VK Bcst,'2RHR TG8 S1 LINK,'2RHR TG8 S2 LOC,'2RHR TG9 S1 LOC,'2RHR TG13 WWE,'2RHR TG113 UA,'2RHR TG123 UA,'2RHR TG153 SthPc,'2RHR TG505 AU,'2RHR TG3801 ACT,'2RHR TG3802 NSW,'2RHR TG3803 VIC,'2RHR TG3804 QLD,'2RHR TG3805 SA,'2RHR TG3807 Tas,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK2RMB,'2RMB TG1 WW,'2RMB TG8 S1,'2RMB TG9 S1 Locl,'2RMB TG13 WWE,'2RMB TG113 UA,'2RMB TG123 UA,'2RMB TG133 USA,'2RMB TG143 UK,'2RMB TG153 SthPc,'2RMB TG505 AU,'2RMB TG3801 ACT,'2RMB TG3803 Vic,'2RMB TG3804 Qld,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK2RCG,'2RCG TG1 WW,'2RCG TG5 VK Bcst,'2RCG TG8 S1 LINK,'2RCG TG8 S2 LOC,'2RCG TG9 S1 LOC,'2RCG TG13 WWE,'2RCG TG113 UA,'2RCG TG123 UA,'2RCG TG153 SthPc,'2RCG TG3806 WA,'2RCG TG505 AU,'2RCG TG3801 ACT,'2RCG TG3802 NSW,'2RCG TG3803 Vic,'2RCG TG3804 QLD,'2RCG TG3805 SA,'2RCG TG 3807 Tas,'2RCG TG143 UK,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK2RRW,'2RRW TG1 WW CALL,'2RRW TG5 VK Bcst,'2RRW TG8 S1 LINK,'2RRW TG8 S2 LOC,'2RRW TG9 S1 LOC,'2RRW TG13 WWE,'2RRW TG113 UA,'2RRW TG123 UA,'2RRW TG153 SthPc,'2RRW TG505 AU,'2RRW TG3801 ACT,'2RRW TG3802 NSW,'2RRW TG3803 VIC,'2RRW TG3804 QLD,'2RRW TG3805 SA,'2RRW TG3807 Tas,'2RRW TG143 UK,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK2RLE,'2RLE TG1 WW,'2RLE TG5 VK Bcst,'2RLE TG8 S1 LINK,'2RLE TG8 S2 LOCL,'2RLE TG9 S1 LOCL,'2RLE TG13 WWE,'2RLE TG113 UA,'2RLE TG123 UA,'2RLE TG153 SthPc,'2RLE TG505 AU,'2RLE TG3801 ACT,'2RLE TG3802 NSW,'2RLE TG3803 VIC,'2RLE TG3804 QLD,'2RLE TG3805 SA,'2RLE TG3807 Tas,'2RLE TG9 s2,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK2RHT,'2RHT TG1 WW,'2RHT TG5 VK Bcst,'2RHT TG8 S1 LINK,'2RHT TG8 S2 LOC,'2RHT TG9 S1 LOC,'2RHT TG13 WWE,'2RHT TG113 UA,'2RHT TG123 UA,'2RHT TG153 SthPc,'2RHT TG505 AU,'2RHT TG3801 ACT,'2RHT TG3802 NSW,'2RHT TG3803 VIC,'2RHT TG3804 QLD,'2RHT TG3805 SA,'2RHT TG3807 Tas,'2RHT TG9 s2,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
